service_code,prefix_type,hierarchy_idx,global_idx,description
14.1.1.10.4.,5,93,127,14.1.1.10.4. Воздействие токами надтональной частоты (ультратонотерапия) ультратонотерапия эндоназальная при заболеваниях верхних дыхательных путей
14.1.1.10.5.,5,93,128,14.1.1.10.5. Воздействие токами надтональной частоты (ультратонотерапия) при патологии сердца и перикарда
14.1.1.10.6.,5,93,129,14.1.1.10.6. Воздействие токами надтональной частоты (ультратонотерапия) при нарушениях микроциркуляции
14.1.1.10.7.,5,93,130,14.1.1.10.7. Воздействие токами надтональной частоты (ультратонотерапия) вагинально или ректально при заболеваниях женских половых органов
14.1.1.10.8.,5,93,131,""14.1.1.10.8. Воздействие токами надтональной частоты (ультратонотерапия) головы
14.1.1.10.9.,5,93,132,14.1.1.10.9. Воздействие токами надтональной частоты (ультратонотерапия) при заболеваниях периферической нервной системы
14.1.1.11.,5,93,133,14.1.1.11. Дарсонвализация кожи
14.1.1.11.1.,5,93,134,14.1.1.11.1. Дарсонвализация местная при заболеваниях системы органов кроветворения и крови
14.1.1.11.10.,5,93,135,14.1.1.11.10. Дарсонвализация органа слуха
14.1.1.11.11.,5,93,136,14.1.1.11.11. Дарсонвализация эндоурально при заболеваниях органа слуха
14.1.1.11.2.,5,93,137,14.1.1.11.2. Дарсонвализация при патологии полости рта
14.1.1.11.3.,5,93,138,14.1.1.11.3. Дарсонвализация при заболеваниях верхних дыхательных путей
14.1.1.11.4.,5,93,139,14.1.1.11.4. Дарсонвализация эндоназальная при заболеваниях верхних дыхательных путей
14.1.1.11.5.,5,93,140,14.1.1.11.5. Дарсонвализация при патологии сердца и перикарда
14.1.1.11.6.,5,93,141,14.1.1.11.6. Дарсонвализация местная при заболеваниях крупных кровеносных сосудов
14.1.1.11.7.,5,93,142,14.1.1.11.7. Дарсонвализация при нарушениях микроциркуляции
14.1.1.11.8.,5,93,143,14.1.1.11.8. Дарсонвализация местная при заболеваниях центральной нервной системы и головного мозга
14.1.1.11.9.,5,93,144,14.1.1.11.9. Дарсонвализация местная при заболеваниях периферической нервной системы
14.1.1.12.,5,93,145,14.1.1.12. Ректальная дарсонвализация при заболеваниях сигмовидной и прямой кишки
14.1.1.12.1.,5,93,146,14.1.1.12.1. Дарсонвализация местная при заболеваниях женских половых органов
14.1.1.12.2.,5,93,147,14.1.1.12.2. Ректальная дарсонвализация при заболеваниях мужских половых органов
14.1.1.13.,5,93,148,14.1.1.13. Флюктуоризация при заболеваниях кожи и подкожно-жировой клетчатки
14.1.1.13.1.,5,93,149,14.1.1.13.1. Флюктуоризация при костной патологии
14.1.1.13.2.,5,93,150,14.1.1.13.2. Флюктуоризация при патологии полости рта и зубов
14.1.1.13.3.,5,93,151,14.1.1.13.3. Флюктуоризация при заболеваниях периферической нервной системы
14.1.1.13.4.,5,93,152,14.1.1.13.4. Флюктуоризация
14.1.1.14.,5,93,153,14.1.1.14. Франклинизация общая
14.1.1.15.,5,93,154,14.1.1.15. Франклинизация местная
14.1.1.16.,5,93,155,14.1.1.16. Ультравысокочастотная индуктотермия при патологии полости рта и зубов
14.1.1.16.1.,5,93,156,14.1.1.16.1. Высокочастотная магнитотерапия - индуктотермия при заболеваниях нижних дыхательных путей
14.1.1.16.2.,5,93,157,14.1.1.16.2. Высокочастотная магнитотерапия - индуктотермия при заболеваниях почек и мочевыделительного тракта
14.1.1.16.3.,5,93,158,14.1.1.16.3. Воздействие высокочастотными электромагнитными полями (индуктотермия)
14.1.1.17.,5,93,159,14.1.1.17. Индуктотермоэлектрофорез
14.1.1.18.,5,93,160,14.1.1.18. УВЧ - терапия
14.1.1.19.,5,93,161,14.1.1.19. Воздействие электромагнитным излучением дециметрового диапазона (ДМВ)
14.1.1.19.1.,5,93,162,14.1.1.19.1. Микроволновое излучение дециметрового диапазона при заболеваниях органов слуха
14.1.1.2.,5,93,163,14.1.1.2. Электрофорез диадинамическими токами (ДЦТ-форез)
14.1.1.2.1.,5,93,164,14.1.1.2.1. Электрофорез синусоидальными модулированными токами (СМТ-форез)
14.1.1.2.10.,5,93,165,14.1.1.2.10. Электрофорез лекарственных препаратов при нарушениях микроциркуляции
14.1.1.2.11.,5,93,166,14.1.1.2.11. Электрофорез лекарственных препаратов при заболеваниях печени и желчевыводящих путей
14.1.1.2.12.,5,93,167,14.1.1.2.12. Электрофорез лекарственных препаратов при заболеваниях поджелудочной железы
14.1.1.2.13.,5,93,168,14.1.1.2.13. Электорофорез лекарственных препаратов при заболеваниях желудка и двенадцатиперстной кишки
14.1.1.2.14.,5,93,169,14.1.1.2.14. Электрофорез лекарственных препаратов при заболеваниях кишечника
14.1.1.2.15.,5,93,170,14.1.1.2.15. Электрофорез лекарственных препаратов при заболеваниях женских половых органов
14.1.1.2.16.,5,93,171,14.1.1.2.16. Электрофорез лекарственных препаратов при заболеваниях мужских половых органов
14.1.1.2.17.,5,93,172,14.1.1.2.17. Электрофорез лекарственных препаратов при заболеваниях желез внутренней секреции
14.1.1.2.18.,5,93,173,14.1.1.2.18. Электрофорез лекарственных препаратов при заболеваниях центральной нервной системы и головного мозга
14.1.1.2.19.,5,93,174,14.1.1.2.19. Электрофорез лекарственных препаратов при заболеваниях периферической нервной системы
14.1.1.2.2.,5,93,175,14.1.1.2.2. Электрофорез лекарственных препаратов при костной патологии
14.1.1.2.20.,5,93,176,14.1.1.2.20. Внутриушной электрофорез лекарственных препаратов при заболеваниях органа слуха
14.1.1.2.21.,5,93,177,14.1.1.2.21. Электрофорез лекарственных препаратов при заболеваниях органа зрения
14.1.1.2.22.,5,93,178,14.1.1.2.22. Электрофорез лекарственных препаратов при заболеваниях почек
14.1.1.2.23.,5,93,179,14.1.1.2.23. Лекарственный электрофорез при неуточненных заболеваниях
14.1.1.2.3.,5,93,180,14.1.1.2.3. Электрофорез лекарственных препаратов при заболеваниях суставов
14.1.1.2.4.,5,93,181,14.1.1.2.4. Электрофорез лекарственных препаратов при заболеваниях системы органов кроветворения и крови
14.1.1.2.5.,5,93,182,14.1.1.2.5. Электрофорез лекарственных препаратов при патологии полости рта и зубов
14.1.1.2.6.,5,93,183,14.1.1.2.6. Электрофорез лекарственных препаратов при заболеваниях верхних дыхательных путей
14.1.1.2.7.,5,93,184,14.1.1.2.7. Электрофорез лекарственных препаратов эндоназальный
14.1.1.2.8.,5,93,185,14.1.1.2.8. Электрофорез лекарственных препаратов при патологии легких
14.1.1.2.9.,5,93,186,14.1.1.2.9. Электрофорез при заболеваниях крупных кровеносных сосудов
14.1.1.20.,5,93,187,14.1.1.20. Воздействие электромагнитным излучением сантиметрового диапазона (СМВ-терапия) вагинально или ректально при заболеваниях женских половых органов
14.1.1.20.1.,5,93,188,14.1.1.20.1. Воздействие электромагнитным излучением сантиметрового диапазона (СМВ-терапия)
14.1.1.21.,5,93,189,14.1.1.21. Магнитотерапия при патологии полости рта и зубов
14.1.1.21.1.,5,93,190,14.1.1.21.1. Низкочастотная магнитотерапия на орган зрения
14.1.1.21.2.,5,93,191,14.1.1.21.2. Общая магнитотерапия
14.1.1.22.,5,93,192,14.1.1.22. Аэрозольтерапия при заболеваниях верхних дыхательных путей (групповая)
14.1.1.22.1.,5,93,193,14.1.1.22.1. Аэрозольтерапия при заболеваниях нижних дыхательных путей (групповая)
14.1.1.22.2.,5,93,194,14.1.1.22.2. Аэрозольтерапия (групповая)
14.1.1.23.,5,93,195,""14.1.1.23. Аэрозольтерапия при заболеваниях верхних дыхательных путей (индивидуальная
14.1.1.23.1.,5,93,196,""14.1.1.23.1. Аэрозольтерапия при заболеваниях нижних дыхательных путей(индивидуальная
14.1.1.23.2.,5,93,197,""14.1.1.23.2. Аэрозольтерапия (индивидуальная
14.1.1.24.,5,93,198,14.1.1.24. Электроаэрозольвоздействие при заболеваниях нижних дыхательных путей (групповая)
14.1.1.25.,5,93,199,14.1.1.25. Электроаэрозольвоздействие при заболеваниях нижних дыхательных путей (индивидуальная)
14.1.1.3.,5,93,200,14.1.1.3. Электрофорез лекарственных препаратов при заболеваниях женских половых органов
14.1.1.3.1.,5,93,201,14.1.1.3.1. Электрофорез лекарственных препаратов при заболеваниях кишечника
14.1.1.4.,5,93,202,14.1.1.4. Вакуум-электрофорез
14.1.1.5.,5,93,203,14.1.1.5. Гидрогальванические камерные ванны
14.1.1.6.,5,93,204,14.1.1.6. Электростимуляция мышц (с учетом  проведения процедуры врачом)
14.1.1.7.,5,93,205,14.1.1.7. Электросон( в т.ч. церебральная электроанальгезия)
14.1.1.8.,5,93,206,14.1.1.8. Диадинамо-терапия
14.1.1.9.,5,93,207,14.1.1.9. Воздействие синусоидальными модулированными токами
14.1.1.9.1.,5,93,208,14.1.1.9.1. Воздействие синусоидальными модулированными токами (СМТ-терапия) при заболеваниях кожи и подкожно-жировой клетчатки
14.1.1.9.2.,5,93,209,14.1.1.9.2. Воздействие синусоидальными модулированными токами (СМТ-терапия) при костной патологии
14.1.1.9.3.,5,93,210,14.1.1.9.3. Воздействие синусоидальными модулированными токами (СМТ-терапия) при патологии сердца и перикарда
14.1.1.9.4.,5,93,211,14.1.1.9.4. Воздействие синусоидальными модулированными токами (СМТ-терапия) при нарушениях микроциркуляции
14.1.1.9.5.,5,93,212,14.1.1.9.5. Воздействие синусоидальными модулированными токами (СМТ-терапия) при заболеваниях периферической нервной системы
14.1.10.,5,93,213,14.1.10. ПРОЦЕДУРЫ ПО ЛФК ВЗРОСЛЫМ И ДЕТЯМ:
14.1.10.1.,5,93,214,14.1.10.1. Осмотр
14.1.10.2.,5,93,215,14.1.10.2. ПРОЦЕДУРЫ ПО ЛФК ДЛЯ ТЕРАПЕВТИЧЕСКИХ БОЛЬНЫХ:
14.1.10.2.1.,5,93,216,""14.1.10.2.1. В период выздоровления или хронического течения заболевания при индивидуальном методе занятий
14.1.10.2.2.,5,93,217,14.1.10.2.2. при групповом методе занятий
14.1.10.3.,5,93,218,14.1.10.3. ДЛЯ БОЛЬНЫХ ПОСЛЕ ХИРУРГИЧЕСКИХ  ОПЕРАЦИЙ:
14.1.10.3.1.,5,93,219,14.1.10.3.1. при индивидуальном методе занятий
14.1.10.3.2.,5,93,220,14.1.10.3.2. при групповом методе занятий
14.1.10.4.,5,93,221,""14.1.10.4. ДЛЯ ТРАВМАТОЛОГИЧЕСКИХ БОЛЬНЫХ
14.1.10.4.1.,5,93,222,14.1.10.4.1. при индивидуальном методе занятий
14.1.10.4.2.,5,93,223,14.1.10.4.2. при групповом методе занятий
14.1.10.4.3.,5,93,224,14.1.10.4.3. при травмах позвоночника и таза
14.1.10.4.4.,5,93,225,14.1.10.4.4. после иммобилизации индивидуальные занятия
14.1.10.4.5.,5,93,226,14.1.10.4.5. после иммобилизации групповые  занятия
14.1.10.4.6.,5,93,227,14.1.10.4.6. ПРИ ТРАВМАХ ПОЗВОНОЧНИКА:
14.1.10.4.6.1.,5,93,228,14.1.10.4.6.1. при индивидуальном методе занятий
14.1.10.4.6.2.,5,93,229,14.1.10.4.6.2. при групповом методе занятий
14.1.10.5.,5,93,230,14.1.10.5. ДЛЯ НЕВРОЛОГИЧЕСКИХ БОЛЬНЫХ:
14.1.10.5.1.,5,93,231,14.1.10.5.1. при индивидуальном методе занятий
14.1.10.5.2.,5,93,232,14.1.10.5.2. при групповом методе занятий
14.1.10.6.,5,93,233,14.1.10.6. ДЛЯ БЕРЕМЕННЫХ И РОЖЕНИЦ В РОДДОМАХ И ЖЕНСКИХ КОНСУЛЬТАЦИЯХ:
14.1.10.6.1.,5,93,234,14.1.10.6.1. при индивидуальном методе занятий
14.1.10.6.2.,5,93,235,14.1.10.6.2. при групповом методе занятий
14.1.10.7.,5,93,236,14.1.10.7. ДЛЯ ДЕТЕЙ ШКОЛЬНОГО ВОЗРАСТА В ШКОЛАХ:
14.1.10.7.1.,5,93,237,14.1.10.7.1. при индивидуальном методе занятий
14.1.10.7.2.,5,93,238,14.1.10.7.2. при групповом методе занятий
14.1.10.8.,5,93,239,14.1.10.8. ДЛЯ ДЕТЕЙ ДОШКОЛЬНОГО ВОЗРАСТА В ДЕТСКИХ ДОШКОЛЬНЫХ УЧРЕЖДЕНИЯХ):
14.1.10.8.1.,5,93,240,14.1.10.8.1. при индивидуальном методе занятий
14.1.10.8.2.,5,93,241,14.1.10.8.2. при групповом методе занятий
14.1.11.,5,93,242,14.1.11. У-ШУ
14.1.12.,5,93,243,14.1.12. ЛЕЧЕНИЕ ПО МЕТОДУ БУТЕЙКО
14.1.13.,5,93,244,14.1.13. Кислородные коктейли
14.1.14.,5,93,245,14.1.14. Подводное вытяжение
14.1.15.,5,93,246,14.1.15. КВЧ-ТЕРАПИЯ
14.1.15.1.,5,93,247,14.1.15.1. КВЧ-терапия (курс - 10 процедур)
14.1.15.2.,5,93,248,14.1.15.2. КВЧ 1 БИОЛОГИЧЕСКИ-АКТИВНОЙ ТОЧКИ
14.1.15.3.,5,93,249,14.1.15.3. КВЧ-терапия (1 процед.)
14.1.16.,5,93,250,14.1.16. Гравитационная терапия
14.1.2.,5,93,251,14.1.2. СВЕТОЛЕЧЕНИЕ
14.1.2.1.,5,93,252,14.1.2.1. Определение биодозы
14.1.2.2.,5,93,253,14.1.2.2. Ультрафиолетовое облучение крови
14.1.2.2.1.,5,93,254,14.1.2.2.1. Ультрафиолетовое облучение кожи
14.1.2.2.10.,5,93,255,14.1.2.2.10. Ультрафиолетовое облучение слизистой носа
14.1.2.2.11.,5,93,256,14.1.2.2.11. Воздействие коротким ультрафиолетовым излучением
14.1.2.2.12.,5,93,257,14.1.2.2.12. Воздействие длинноволновым ультрафиолетовым излучением
14.1.2.2.13.,5,93,258,14.1.2.2.13. Воздействие интегральным ультрафиолетовым излучением
14.1.2.2.2.,5,93,259,14.1.2.2.2. Ультрафиолетовое облучение при заболеваниях суставов
14.1.2.2.3.,5,93,260,14.1.2.2.3. Ультрафиолетовое облучение ротоглотки
14.1.2.2.4.,5,93,261,14.1.2.2.4. Воздействие коротким ультрафиолетовым светом при заболеваниях верхних дыхательных путей
14.1.2.2.5.,5,93,262,14.1.2.2.5. Воздействие селективным (широкополосным) коротким ультрафиолетовым светом при заболеваниях нижних дыхательных путей
14.1.2.2.6.,5,93,263,14.1.2.2.6. Ультрафиолетовое облучение при заболеваниях центральной нервной системы и головного мозга
14.1.2.2.7.,5,93,264,14.1.2.2.7. Светолечение коротким ультрафиолетовым излучением наружного уха
14.1.2.2.8.,5,93,265,14.1.2.2.8. Ультрафиолетовое облучение (местное) при заболеваниях глаза и его придаточных пазух
14.1.2.2.9.,5,93,266,14.1.2.2.9. Кросслинкинг роговичного коллагена с использованием ультрафиолетового излучения
14.1.2.3.,5,93,267,14.1.2.3. ОБЛУЧЕНИЕ ДРУГИМИ ИСТОЧНИКАМИ СВЕТА:
14.1.2.3.1.,5,93,268,14.1.2.3.1. Низкоинтенсивная лазеротерапия (внутривенное облучение крови)
14.1.2.3.1.1.,5,93,269,14.1.2.3.1.1. Внутрисуставная лазеротерапия
14.1.2.3.1.10.,5,93,270,14.1.2.3.1.10. Воздействие лазерным низкоинтенсивным излучением на область зева
14.1.2.3.1.11.,5,93,271,14.1.2.3.1.11. Воздействие лазерным низкоинтенсивным излучением эндоназально
14.1.2.3.1.12.,5,93,272,14.1.2.3.1.12. Воздействие низкоинтенсивным лазерным излучением при заболеваниях верхних дыхательных путей
14.1.2.3.1.13.,5,93,273,14.1.2.3.1.13. Низкоинтенсивная лазерная терапия интраларингеальная
14.1.2.3.1.14.,5,93,274,14.1.2.3.1.14. Воздействие низкоинтенсивным лазерным излучением при заболеваниях сердца и перикарда
14.1.2.3.1.15.,5,93,275,14.1.2.3.1.15. Воздействие низкоинтенсивным лазерным излучением при заболеваниях крупных кровеносных сосудов
14.1.2.3.1.16.,5,93,276,14.1.2.3.1.16. Воздействие лазерным излучением при сосудистых новообразованиях
14.1.2.3.1.17.,5,93,277,14.1.2.3.1.17. Лазерное облучение крови
14.1.2.3.1.18.,5,93,278,14.1.2.3.1.18. Воздействие низкоинтенсивным лазерным излучением при заболеваниях печени и желчевыводящих путей
14.1.2.3.1.19.,5,93,279,14.1.2.3.1.19. Воздействие низкоинтенсивным лазерным излучением вагинально
14.1.2.3.1.2.,5,93,280,14.1.2.3.1.2. Лазеротерапия при заболеваниях женских половых органов
14.1.2.3.1.20.,5,93,281,14.1.2.3.1.20. Ректальное воздействие низкоинтенсивным лазерным излучением при заболеваниях мужских половых органов
14.1.2.3.1.21.,5,93,282,14.1.2.3.1.21. Воздействие низкоинтенсивным лазерным излучением при заболеваниях желез внутренней секреции
14.1.2.3.1.22.,5,93,283,14.1.2.3.1.22. Воздействие низкоинтенсивным лазерным излучением при заболеваниях центральной нервной системы и головного мозга
14.1.2.3.1.23.,5,93,284,14.1.2.3.1.23. Воздействие низкоинтенсивным лазерным излучением при заболеваниях периферической нервной системы
14.1.2.3.1.24.,5,93,285,14.1.2.3.1.24. Воздействие низкоинтенсивным лазерным излучением при заболеваниях почек и мочевыделительного тракта
14.1.2.3.1.25.,5,93,286,14.1.2.3.1.25. Воздействие низкоинтенсивным лазерным излучением при заболеваниях мочевыделительного тракта
14.1.2.3.1.3.,5,93,287,14.1.2.3.1.3. Магнитолазеротерапия при заболеваниях женских половых органов
14.1.2.3.1.4.,5,93,288,14.1.2.3.1.4. Магнитолазеротерапия при заболеваниях женских половых органов внутриполостная
14.1.2.3.1.5.,5,93,289,14.1.2.3.1.5. Воздействие низкоинтенсивным лазерным излучением при заболеваниях мышц
14.1.2.3.1.6.,5,93,290,14.1.2.3.1.6. Воздействие низкоинтенсивным лазерным излучением при заболеваниях суставов
14.1.2.3.1.7.,5,93,291,14.1.2.3.1.7. Воздействие низкоинтенсивным лазерным излучением при заболеваниях органов кроветворения и крови
14.1.2.3.1.8.,5,93,292,14.1.2.3.1.8. Лазерная физиотерапия челюстно-лицевой области
14.1.2.3.1.9.,5,93,293,14.1.2.3.1.9. Воздействие лазерным низкоинтенсивным излучением на область десен
14.1.2.4.,5,93,294,14.1.2.4. Электросветовая ванна
