mkb_code,letter_idx,hierarchy_idx,global_idx,description
A15.7,2,3,80,"Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически"
A15.8,2,3,81,"Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически"
A15.9,2,3,82,"Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически"
A16,2,3,83,"Туберкулез органов дыхания, не подтвержденный бактериологически или гистологически"
A16.0,2,3,84,Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований
A16.1,2,3,85,Туберкулез легких без проведения бактериологического и гистологического исследований
A16.2,2,3,86,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении
A16.3,2,3,87,Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении
A16.4,2,3,88,"Туберкулез гортани, трахеи и бронхов без упоминания о бактериологическом или гистологическом подтверждении"
A16.5,2,3,89,Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении
A16.7,2,3,90,Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
A16.8,2,3,91,Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
A16.9,2,3,92,Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении
A17,2,3,93,Туберкулез нервной системы
A17.0,2,3,94,Туберкулезный менингит (G01*)
A17.1,2,3,95,Менингеальная туберкулема (G07*)
A17.8,2,3,96,Туберкулез нервной системы другой локализаций
A17.9,2,3,97,Туберкулез нервной системы неуточненный (G99.8*)
A18,2,3,98,Туберкулез других органов
A18.0,2,3,99,Туберкулез костей и суставов
A18.1,2,3,100,Туберкулез мочеполовых органов
A18.2,2,3,101,Туберкулезная периферическая лимфаденопатия
A18.3,2,3,102,"Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов"
A18.4,2,3,103,Туберкулез кожи и подкожной клетчатки
A18.5,2,3,104,Туберкулез глаза
A18.6,2,3,105,Туберкулез уха
A18.7,2,3,106,Туберкулез надпочечников (E35.1*)
A18.8,2,3,107,Туберкулез других уточненных органов
A19,2,3,108,Милиарный туберкулез
A19.0,2,3,109,Острый милиарный туберкулез одной уточненной локализации
A19.1,2,3,110,Острый милиарный туберкулез множественной локализации
A19.2,2,3,111,Острый милиарный туберкулез неуточненной локализации
A19.8,2,3,112,Другие формы милиарного туберкулеза
A19.9,2,3,113,Милиарный туберкулез неуточненной локализации
A20,2,4,114,Чума
A20.0,2,4,115,Бубонная чума
A20.1,2,4,116,Целлюлярнокожная чума
A20.2,2,4,117,Легочная чума
A20.3,2,4,118,Чумной менингит
A20.7,2,4,119,Септическая чума
A20.8,2,4,120,Другие формы чумы
A20.9,2,4,121,Чума неуточненная
A21,2,4,122,Туляремия
A21.0,2,4,123,Ульцерогландулярная туляремия
A21.1,2,4,124,Окулогландулярная туляремия
A21.2,2,4,125,Легочная туляремия
A21.3,2,4,126,Желудочно-кишечная туляремия
A21.7,2,4,127,Генерализованная туляремия
A21.8,2,4,128,Другие формы туляремии
A21.9,2,4,129,Туляремия неуточненная
A22,2,4,130,Сибирская язва
A22.0,2,4,131,Кожная форма сибирской язвы
A22.1,2,4,132,Легочная форма сибирской язвы
A22.2,2,4,133,Желудочно-кишечная форма сибирской язвы
A22.7,2,4,134,Сибиреязвенный сепсис
A22.8,2,4,135,Другие формы сибирской язвы
A22.9,2,4,136,Сибирская язва неуточненная
A23,2,4,137,Бруцеллез
A23.0,2,4,138,"Бруцеллез, вызванный Brucella melitensis"
A23.1,2,4,139,"Бруцеллез, вызванный Brucella abortus"
A23.2,2,4,140,"Бруцеллез, вызванный Brucella suis"
A23.3,2,4,141,"Бруцеллез, вызванный Brucella canis"
A23.8,2,4,142,Другие формы бруцеллеза
A23.9,2,4,143,Бруцеллез неуточненный
A24,2,4,144,Сап и мелиоидоз
A24.0,2,4,145,Сап
A24.1,2,4,146,Острый или молниеносный мелиоидоз
A24.2,2,4,147,Подострый и хронический мелиоидоз
A24.3,2,4,148,Другой уточненный мелиоидоз
A24.4,2,4,149,Мелиоидоз неуточненный
A25,2,4,150,Лихорадка от укуса крыс
A25.0,2,4,151,Спириллез
A25.1,2,4,152,Стрептобациллез
A25.9,2,4,153,Лихорадка от укуса крыс неуточненная
A26,2,4,154,Эризипелоид
A26.0,2,4,155,Кожный эризипелоид
A26.7,2,4,156,"Сепсис, вызванный Erysipelothrix"
A26.8,2,4,157,Другие формы эризипелоида
A26.9,2,4,158,Эризипелоид неуточненный
A27,2,4,159,Лептоспироз
A27.0,2,4,160,Лептоспироз желтушно-геморрагический
A27.8,2,4,161,Другие формы лептоспироза
A27.9,2,4,162,Лептоспироз неуточненный
A28,2,4,163,"Другие бактериальные зоонозы, не классифицированные в других рубриках"
A28.0,2,4,164,Пастереллез
A28.1,2,4,165,Лихорадка от кошачьих царапин
A28.2,2,4,166,Экстраинтестинальный иерсиниоз
A28.8,2,4,167,"Другие уточненные бактериальные зоонозы, не классифицированные в других рубриках"
A28.9,2,4,168,Бактериальные зоонозы неуточненные
A30,2,5,169,Лепра [болезнь Гансена]
A30.0,2,5,170,Недифференцированная лепра
A30.1,2,5,171,Туберкулоидная лепра
A30.2,2,5,172,Пограничная туберкулоидная лепра
A30.3,2,5,173,Пограничная лепра
A30.4,2,5,174,Пограничная лепроматозная лепра
A30.5,2,5,175,Лепроматозная лепра
A30.8,2,5,176,Другие формы лепры
A30.9,2,5,177,Лепра неуточненная
A31,2,5,178,"Инфекции, вызванные другими микобактериями"
A31.0,2,5,179,"Легочная инфекция, вызванная Mycobacterium"
A31.1,2,5,180,"Кожная инфекция, вызванная Mycobacterium"
A31.8,2,5,181,"Другие инфекции, вызванные Mycobacterium"
A31.9,2,5,182,"Инфекция, вызванная Mycobacterium, неуточненная"
A32,2,5,183,Листериоз
A32.0,2,5,184,Кожный листериоз
A32.1,2,5,185,Листериозный менингит и менингоэнцефалит
A32.7,2,5,186,Листериозный сепсис
A32.8,2,5,187,Другие формы листериоза
A32.9,2,5,188,Листериоз неуточненный
A33,2,5,189,Столбняк новорожденного
A34,2,5,190,Акушерский столбняк
A35,2,5,191,Другие формы столбняка
A36,2,5,192,Дифтерия
A36.0,2,5,193,Дифтерия глотки
A36.1,2,5,194,Дифтерия носоглотки
A36.2,2,5,195,Дифтерия гортани
A36.3,2,5,196,Дифтерия кожи
A36.8,2,5,197,Другая дифтерия
A36.9,2,5,198,Дифтерия неуточненная
A37,2,5,199,Коклюш
A37.0,2,5,200,"Коклюш, вызванный Bordetella pertussis"
A37.1,2,5,201,"Коклюш, вызванный Bordetella parapertussis"
A37.8,2,5,202,"Коклюш, вызванный другим уточненным возбудителем вида Bordetella"
A37.9,2,5,203,Коклюш неуточненный
A38,2,5,204,Скарлатина
A39,2,5,205,Менингококковая инфекция
A39.0,2,5,206,Менингококковый менингит (G01*)
A39.1,2,5,207,Синдром Уотерхауса-Фридериксена (E35.1*)
A39.2,2,5,208,Острая менингококкемия
A39.3,2,5,209,Хроническая менингококкемия
A39.4,2,5,210,Менингококкемия неуточненная
A39.5,2,5,211,Менингококковая болезнь сердца
A39.8,2,5,212,Другие менингококковые инфекции
A39.9,2,5,213,Менингококковая инфекция неуточненная
A40,2,5,214,Стрептококковый сепсис
A40.0,2,5,215,"Сепсис, вызванный стрептококком группы A"
A40.1,2,5,216,"Сепсис, вызванный стрептококком группы B"
A40.2,2,5,217,"Сепсис, вызванный стрептококком группы D и энтерококком"
A40.3,2,5,218,"Сепсис, вызванный Streptococcus pneumoniae"
A40.8,2,5,219,Другой стрептококковый сепсис
A40.9,2,5,220,Стрептококковый сепсис неуточненный
A41,2,5,221,Другой сепсис
A41.0,2,5,222,"Сепсис, вызванный Staphylococcus aureus"
A41.1,2,5,223,"Сепсис, вызванный другим уточненным стафилококком"
A41.2,2,5,224,"Сепсис, вызванный неуточненным стафилококком"
A41.3,2,5,225,"Сепсис, вызванный Haemophilus influenzae"
A41.4,2,5,226,"Сепсис, вызванный анаэробами"
A41.5,2,5,227,"Сепсис, вызванный другими грамотрицательными микроорганизмами"
A41.8,2,5,228,Другой уточненный сепсис
A41.9,2,5,229,Сепсис неуточненный
A42,2,5,230,Актиномикоз
A42.0,2,5,231,Легочный актиномикоз
A42.1,2,5,232,Абдоминальный актиномикоз
A42.2,2,5,233,Шейно-лицевой актиномикоз
A42.7,2,5,234,Актиномикозный сепсис
A42.8,2,5,235,Другие актиномикозы
A42.9,2,5,236,Актиномикоз неуточненный
A43,2,5,237,Нокардиоз
A43.0,2,5,238,Легочный нокардиоз
A43.1,2,5,239,Нокардиоз кожи
A43.8,2,5,240,Другие формы нокардиоза
A43.9,2,5,241,Нокардиоз неуточненный
A44,2,5,242,Бартонеллез
A44.0,2,5,243,Системный бартонеллез
A44.1,2,5,244,Кожный и кожно-слизистый бартонеллез
A44.8,2,5,245,Другие бартонеллезы
A44.9,2,5,246,Бартонеллез неуточненный
A46,2,5,247,Рожа
A48,2,5,248,"Другие бактериальные болезни, не классифицированные в других рубриках"
A48.0,2,5,249,Газовая гангрена
A48.1,2,5,250,Болезнь легионеров
A48.2,2,5,251,Болезнь легионеров без пневмонии [лихорадка Понтиак]
A48.3,2,5,252,Синдром токсического шока
A48.4,2,5,253,Бразильская пурпурная лихорадка
A48.8,2,5,254,Другие уточненные бактериальные болезни
A49,2,5,255,Бактериальная инфекция неуточненной локализации
A49.0,2,5,256,Стафилококковая инфекция неуточненной локализации
A49.1,2,5,257,Стрептококковая и энтерококковая инфекция неуточненной локализации
A49.2,2,5,258,"Инфекция, вызванная Haemophilus influenzae, неуточненной локализации"
A49.3,2,5,259,Микоплазменная инфекция неуточненной локализации
A49.8,2,5,260,Другие бактериальные инфекции неуточненной локализации
A49.9,2,5,261,Бактериальная инфекция неуточненная
A50,2,6,262,Врожденный сифилис
A50.0,2,6,263,Ранний врожденный сифилис с симптомами
A50.1,2,6,264,Ранний врожденный сифилис скрытый
A50.2,2,6,265,Ранний врожденный сифилис неуточненный
A50.3,2,6,266,Позднее врожденное сифилитическое поражение глаз
A50.4,2,6,267,Поздний врожденный нейросифилис [ювенильный нейросифилис]
A50.5,2,6,268,Другие формы позднего врожденного сифилиса с симптомами
A50.6,2,6,269,Поздний врожденный сифилис скрытый
A50.7,2,6,270,Поздний врожденный сифилис неуточненный
A50.9,2,6,271,Врожденный сифилис неуточненный
A51,2,6,272,Ранний сифилис
A51.0,2,6,273,Первичный сифилис половых органов
A51.1,2,6,274,Первичный сифилис анальной области
A51.2,2,6,275,Первичный сифилис других локализаций
A51.3,2,6,276,Вторичный сифилис кожи и слизистых оболочек
A51.4,2,6,277,Другие формы вторичного сифилиса
A51.5,2,6,278,Ранний сифилис скрытый
A51.9,2,6,279,Ранний сифилис неуточненный
A52,2,6,280,Поздний сифилис
A52.0,2,6,281,Сифилис сердечно-сосудистой системы
A52.1,2,6,282,Нейросифилис с симптомами
A52.2,2,6,283,Асимптомный нейросифилис
A52.3,2,6,284,Нейросифилис неуточненный
A52.7,2,6,285,Другие симптомы позднего сифилиса
A52.8,2,6,286,Поздний сифилис скрытый
A52.9,2,6,287,Поздний сифилис неуточненный
A53,2,6,288,Другие и неуточненные формы сифилиса
A53.0,2,6,289,"Скрытый сифилис, неуточненный как ранний или поздний"
A53.9,2,6,290,Сифилис неуточненный
A54,2,6,291,Гонококковая инфекция
A54.0,2,6,292,Гонококковая инфекция нижних отделов мочеполового тракта без абсцедирования периуретральных или придаточных желез
A54.1,2,6,293,Гонококковая инфекция нижних отделов мочеполового тракта с абсцедированием периуретральных и придаточных желез
A54.2,2,6,294,Гонококковая пельвиоперитонит и другая гонококковая инфекция мочеполовых органов
A54.3,2,6,295,Гонококковая инфекция глаз
A54.4,2,6,296,Гонококковая инфекция костно-мышечной системы
A54.5,2,6,297,Гонококковый фарингит
A54.6,2,6,298,Гонококковая инфекция аноректальной области
A54.8,2,6,299,Другие гонококковые инфекции
A54.9,2,6,300,Гонококковая инфекция неуточненная
A55,2,6,301,Хламидийная лимфогранулема (венерическая)
A56,2,6,302,"Другие хламидийные болезни, передающиеся половым путем"
A56.0,2,6,303,Хламидийные инфекции нижних отделов мочеполового тракта
A56.1,2,6,304,Хламидийные инфекции органов малого таза и других мочеполовых органов
A56.2,2,6,305,Хламидийная инфекция мочеполового тракта неуточненная
A56.3,2,6,306,Хламидийная инфекция аноректальной области
A56.4,2,6,307,Хламидийный фарингит
A56.8,2,6,308,"Хламидийные инфекции, передающиеся половым путем, другой локализации"
A57,2,6,309,Шанкроид
A58,2,6,310,Паховая гранулема
A59,2,6,311,Трихомониаз
A59.0,2,6,312,Урогенитальный трихомониаз
A59.8,2,6,313,Трихомониаз других локализаций
A59.9,2,6,314,Трихомониаз неуточненный
A60,2,6,315,Аногенитальная герпетическая вирусная инфекция [herpes simplex]
A60.0,2,6,316,Герпетические инфекции половых органов и мочеполового тракта
A60.1,2,6,317,Герпетические инфекции перианальных кожных покровов и прямой кишки
A60.9,2,6,318,Аногенитальная герпетическая инфекция неуточненная
A63,2,6,319,"Другие болезни, передающиеся преимущественно половым путем, не классифицированные в других рубриках"
A63.0,2,6,320,Аногенитальные (венерические) бородавки
A63.8,2,6,321,"Другие уточненные заболевания, передающиеся преимущественно половым путем"
A64,2,6,322,"Болезни, передающиеся половым путем, неуточненные"
A65,2,7,323,Невенерический сифилис
A66,2,7,324,Фрамбезия
A66.0,2,7,325,Первичные фрамбезийные поражения
A66.1,2,7,326,Множественные папилломы и пианома подошвенная
A66.2,2,7,327,Другие ранние кожные фрамбезийные поражения
A66.3,2,7,328,Фрамбезийный гиперкератоз
A66.4,2,7,329,Фрамбезийные гуммы и язвы
A66.5,2,7,330,Гангоза
A66.6,2,7,331,Фрамбезийные поражения костей и суставов
A66.7,2,7,332,Другие проявления фрамбезии
A66.8,2,7,333,Латентная фрамбезия
A66.9,2,7,334,Фрамбезия неуточненная
A67,2,7,335,Пинта [карате]
A67.0,2,7,336,Первичные поражения при пинте
A67.1,2,7,337,Промежуточные поражения при пинте
A67.2,2,7,338,Поздние поражения при пинте
A67.3,2,7,339,Смешанные поражения при пинте
A67.9,2,7,340,Пинта неуточненная
A68,2,7,341,Возвратные лихорадки
A68.0,2,7,342,Вшивая возвратная лихорадка
A68.1,2,7,343,Эпидемический возвратный тиф
A68.9,2,7,344,Возвратная лихорадка неуточненная
A69,2,7,345,"Другие инфекции, вызванные спирохетами"
A69.0,2,7,346,Некротизирующий язвенный стоматит
A69.1,2,7,347,Другие инфекции Венсана
A69.2,2,7,348,Болезнь Лайма
A69.8,2,7,349,Другие уточненные спирохетозные инфекции
A69.9,2,7,350,Спирохетозная инфекция неуточненная
A70,2,8,351,"Инфекция, вызываемая Chlamydia psittaci"
A71,2,8,352,Трахома
A71.0,2,8,353,Начальная стадия трахомы
A71.1,2,8,354,Активная стадия трахомы
A71.9,2,8,355,Трахома неуточненная
A74,2,8,356,"Другие болезни, вызываемые хламидиями"
A74.0,2,8,357,Хламидийный конъюнктивит (H13.1*)
A74.8,2,8,358,Другие хламидийные болезни
A74.9,2,8,359,Хламидийная инфекция неуточненная
A75,2,9,360,Сыпной тиф
A75.0,2,9,361,"Эпидемический вшивый тиф, вызываемый Rickettsia prowazekii"
A75.1,2,9,362,Рецидивирующий тиф [болезнь Брилла]
A75.2,2,9,363,"Тиф, вызываемый Rickettsia typhi"
A75.3,2,9,364,"Тиф, вызываемый Rickettsia tsutsugamushi"
A75.9,2,9,365,Сыпной тиф неуточненный
A77,2,9,366,Пятнистая лихорадка [клещевые риккетсиозы]
A77.0,2,9,367,"Пятнистая лихорадка, вызываемая Rickettsia rickettsii"
A77.1,2,9,368,"Пятнистая лихорадка, вызываемая Rickettsia conorii"
A77.2,2,9,369,"Пятнистая лихорадка, вызываемая Rickettsia siberica"
A77.3,2,9,370,"Пятнистая лихорадка, вызываемая Rickettsia australis"
A77.8,2,9,371,Другие пятнистые лихорадки
A77.9,2,9,372,Пятнистая лихорадка неуточненная
A78,2,9,373,Лихорадка Ку
A79,2,9,374,Другие риккетсиозы
A79.0,2,9,375,Окопная лихорадка
A79.1,2,9,376,"Осповидный риккетсиоз, вызываемый Rickettsia akari"
A79.8,2,9,377,Другие уточненные риккетсиозы
A79.9,2,9,378,Риккетсиоз неуточненный
A80,2,10,379,Острый полиомиелит
A80.0,2,10,380,"Острый паралитический полиомиелит, ассоциированный с вакциной"
A80.1,2,10,381,"Острый паралитический полиомиелит, вызванный диким завезенным вирусом"
A80.2,2,10,382,"Острый паралитический полиомиелит, вызванный диким природным вирусом"
A80.3,2,10,383,Острый паралитический полиомиелит другой и неуточненный
A80.4,2,10,384,Острый непаралитический полиомиелит
A80.9,2,10,385,Острый полиомиелит неуточненный
A81,2,10,386,Атипичные вирусные инфекции центральной нервной системы
A81.0,2,10,387,Болезнь Крейтцфельдта-Якоба
A81.1,2,10,388,Подострый склерозирующий панэнцефалит
A81.2,2,10,389,Прогрессирующая многоочаговая лейкоэнцефалопатия
A81.8,2,10,390,Другие атипичные вирусные инфекции центральной нервной системы
A81.9,2,10,391,Атипичные вирусные инфекции центральной нервной системы неуточненные
A82,2,10,392,Бешенство
A82.0,2,10,393,Лесное бешенство
A82.1,2,10,394,Городское бешенство
A82.9,2,10,395,Бешенство неуточненное
A83,2,10,396,Комариный вирусный энцефалит
A83.0,2,10,397,Японский энцефалит
A83.1,2,10,398,Западный лошадиный энцефалит
A83.2,2,10,399,Восточный лошадиный энцефалит
A83.3,2,10,400,Энцефалит Сент-Луис
A83.4,2,10,401,Австралийский энцефалит
A83.5,2,10,402,Калифорнийский энцефалит
A83.6,2,10,403,"Болезнь, вызванная вирусом Роцио"
A83.8,2,10,404,Другие комариные вирусные энцефалиты
A83.9,2,10,405,Комариный вирусный энцефалит неуточненный
A84,2,10,406,Клещевой вирусный энцефалит
A84.0,2,10,407,Дальневосточный клещевой энцефалит [русский весенне-летний энцефалит]
A84.1,2,10,408,Центральноевропейский клещевой энцефалит
A84.8,2,10,409,Другие клещевые вирусные энцефалиты
A84.9,2,10,410,Клещевой вирусный энцефалит неуточненный
A85,2,10,411,"Другие вирусные энцефалиты, не классифицированные в других рубриках"
A85.0,2,10,412,Энтеровирусный энцефалит (G05.1*)
A85.1,2,10,413,Аденовирусный энцефалит (G05.1*)
A85.2,2,10,414,"Вирусный энцефалит, передаваемый членистоногими, неуточненный"
A85.8,2,10,415,Другие уточненные вирусные энцефалиты
A86,2,10,416,Вирусный энцефалит неуточненный
A87,2,10,417,Вирусный менингит
A87.0,2,10,418,Энтеровирусный менингит (G02.0*)
A87.1,2,10,419,Аденовирусный менингит (G02.0*)
A87.2,2,10,420,Лимфоцитарный хориоменингит
A87.8,2,10,421,Другой вирусный менингит
A87.9,2,10,422,Вирусный менингит неуточненный
A88,2,10,423,"Другие вирусные инфекции центральной нервной системы, не классифицированные в других рубриках"
A88.0,2,10,424,Энтеровирусная экзантематозная лихорадка [бостонская экзантема]
A88.1,2,10,425,Эпидемическое головокружение
A88.8,2,10,426,Другие уточненные вирусные инфекции центральной нервной системы
A89,2,10,427,Вирусная инфекция центральной нервной системы неуточненная
A90,2,11,428,Лихорадка денге [классическая лихорадка денге]
A91,2,11,429,"Геморрагическая лихорадка, вызванная вирусом денге"
A92,2,12,430,Другие комариные вирусные лихорадки
A92.0,2,12,431,"Болезнь, вызванная вирусом Чикунгунья"
A92.1,2,12,432,Лихорадка О'Ньонг-Ньонг
A92.2,2,12,433,Венесуэльская лошадиная лихорадка
A92.3,2,12,434,Лихорадка Западного Нила
A92.4,2,12,435,Лихорадка Рифт-Валли [долины Рифт]
A92.5,2,12,436,"Болезнь, вызванная вирусом Зика"
A92.8,2,12,437,Другая уточненная комариная вирусная лихорадка
A92.9,2,12,438,Комариная вирусная лихорадка неуточненная
A93,2,12,439,"Другие вирусные лихорадки, передаваемые членистоногими, не классифицированные в других рубриках"
A93.0,2,12,440,"Болезнь, вызванная вирусом Оропуш"
A93.1,2,12,441,Москитная лихорадка
A93.2,2,12,442,Колорадская клещевая лихорадка
A93.8,2,12,443,"Другие уточненные вирусные лихорадки, передаваемые членистоногими"
A94,2,12,444,"Вирусная лихорадка, передаваемая членистоногими, неуточненная"
A95,2,12,445,Желтая лихорадка
A95.0,2,12,446,Лесная желтая лихорадка
A95.1,2,12,447,Городская желтая лихорадка
A95.9,2,12,448,Желтая лихорадка неуточненная
A96,2,12,449,Ареновирусная геморрагическая лихорадка
A96.0,2,12,450,Геморрагическая лихорадка Хунин
A96.1,2,12,451,Геморрагическая лихорадка Мачупо
A96.2,2,12,452,Лихорадка Ласса
A96.8,2,12,453,Другие ареновирусные геморрагические лихорадки
A96.9,2,12,454,Ареновирусная геморрагическая лихорадка неуточненная
A97,2,12,455,Денге
A97.0,2,12,456,Денге без признаков осложнений
A97.1,2,12,457,Денге с признаками осложнений
A97.2,2,12,458,Тяжелая денге
A97.9,2,12,459,Денге неуточненная
A98,2,12,460,"Другие вирусные геморрагические лихорадки, не классифицированные в других рубриках"
A98.0,2,12,461,Крымская геморрагическая лихорадка (вызванная вирусом Конго)
A98.1,2,12,462,Омская геморрагическая лихорадка
A98.2,2,12,463,Кьясанурская лесная болезнь
A98.3,2,12,464,"Болезнь, вызванная вирусом Марбург"
A98.4,2,12,465,"Болезнь, вызванная вирусом Эбола"
A98.5,2,12,466,Геморрагическая лихорадка с почечным синдромом
A98.8,2,12,467,Другие уточненные вирусные геморрагические лихорадки
A99,2,12,468,Вирусная геморрагическая лихорадка неуточненная
B00,3,13,469,"Инфекции, вызванные вирусом герпеса [herpes simplex]"
B00.0,3,13,470,Герпетическая экзема
B00.1,3,13,471,Герпетический везикулярный дерматит
B00.2,3,13,472,Герпетический гингивостоматит и фаринготонзиллит
B00.3,3,13,473,Герпетический менингит (G02.0*)
B00.4,3,13,474,Герпетический энцефалит (G05.1*)
B00.5,3,13,475,Герпетическая болезнь глаз
B00.7,3,13,476,Диссеминированная герпетическая болезнь
B00.8,3,13,477,Другие формы герпетических инфекций
B00.9,3,13,478,Герпетическая инфекция неуточненная
B01,3,13,479,Ветряная оспа [varicella]
B01.0,3,13,480,Ветряная оспа с менингитом (G02.0*)
B01.1,3,13,481,Ветряная оспа с энцефалитом (G05.1*)
B01.2,3,13,482,Ветряная оспа с пневмонией (J17.1*)
B01.8,3,13,483,Ветряная оспа с другими осложнениями
B01.9,3,13,484,Ветряная оспа без осложнений
B02,3,13,485,Опоясывающий лишай [herpes zoster]
B02.0,3,13,486,Опоясывающий лишай с энцефалитом (G05.1*)
B02.1,3,13,487,Опоясывающий лишай с менингитом (G02.0*)
B02.2,3,13,488,Опоясывающий лишай с другими осложнениями со стороны нервной системы
B02.3,3,13,489,Опоясывающий лишай с глазными осложнениями
B02.7,3,13,490,Диссеминированный опоясывающий лишай
B02.8,3,13,491,Опоясывающий лишай с другими осложнениями
B02.9,3,13,492,Опоясывающий лишай без осложнений
B03,3,13,493,Оспа
B04,3,13,494,"Инфекции, вызванные вирусом обезьяньей оспы"
B05,3,13,495,Корь
B05.0,3,13,496,"Корь, осложненная энцефалитом (G05.1*)"
